Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Привод оптический;2020-12-08 16:00:00;2020-12-15 16:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Техническое обслуживание средств охранной сигнализации, установок автоматического газового пожаротушения и услуги охранного мониторинга;2020-12-20 16:30:00;2020-12-21 17:10:30;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде каналов связи;2020-12-15 09:00:00;2020-12-21 17:28:10;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки антивирусного программного обеспечения;2020-12-04 09:00:00;2020-12-04 10:55:07;Завершено;"БИК: VTBAKZKZ, ИИК: KZ264322203398B01022, КБЕ: 16, Банк: ДО АО ""Банк ВТБ (Казахстан)"", КАТО: 751410000, г. Алматы, ул. Тимирязева, 28в"
Закупка услуги по пересылке регистрируемых почтовых отправлений ;2020-12-11 12:00:00;2020-12-20 14:19:26;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по размещению информационных материалов в средствах массовой информации;2020-12-21 09:00:00;2020-12-21 15:51:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Предоставление в пользование оптических волокон в волоконно-оптической линии связи (ВОЛС);2020-12-08 14:30:00;2020-12-09 17:24:15;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Бланк;2020-12-04 09:00:00;2020-12-04 16:30:37;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"Техническая поддержка на лицензионное программное обеспечение резервного копирования виртуальных машин ""Veeam""";2020-12-11 10:00:00;2020-12-21 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию  приборов учета тепловой энергии;2020-12-15 09:00:00;2020-12-23 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию автоматизированных систем управления/контроля/мониторинга/учета/диспетчеризации и аналогичного оборудования;2020-12-20 15:00:00;2020-12-23 12:25:22;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка печатей и штампов;2020-12-08 16:00:00;2020-12-14 09:54:39;Завершено;"БИК: NBRKKZKX, ИИК: KZ43125KZTS005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по вывозу ТБО (твердых бытовых отходов) ;2020-12-04 09:00:00;2020-12-11 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуги ускоренной (курьерской) почты;2020-12-11 12:00:00;2020-12-20 17:21:20;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию пожарной/охранной сигнализации/систем тушения/видеонаблюдения и аналогичного оборудования;2020-12-20 15:00:00;2020-12-22 10:24:41;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по индивидуальному дозиметрическому контролю;2020-12-09 09:00:00;2020-12-09 16:10:45;Завершено;"БИК: NBRKKZKX, ИИК: KZ48125KZTT004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка санитарно-технических изделий;2020-12-04 09:00:00;2020-12-11 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по индивидуальному дозиметрическому контролю;2020-12-11 09:00:00;2020-12-11 10:16:43;Завершено;"БИК: NBRKKZKX, ИИК: KZ69125KZTM006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2020-12-25 12:00:00;2020-12-25 15:23:53;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому (сервисному) обслуживанию и ремонту охранного/досмотрового оборудования;2020-12-09 09:00:00;2020-12-09 15:47:24;Завершено;"БИК: NBRKKZKX, ИИК: KZ48125KZTT004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка аргона газообразного;2020-12-22 09:00:00;2020-12-22 10:31:58;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка штор и жалюзи ;2020-12-04 09:00:00;2020-12-11 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Доступ к Интернету;2020-12-11 09:00:00;2020-12-21 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию установок автоматического газового пожаротушения;2020-12-15 09:00:00;2020-12-21 12:30:46;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Распространение программ по кабельной инфраструктуре;2020-12-21 10:00:00;2020-12-21 18:11:11;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по подписке на печатные периодические издания (Собрание актов Президента и Правительства Республики Казахстан);2020-12-03 09:00:00;2020-12-03 16:32:38;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обеспечению радиационной безопасности;2020-12-09 09:00:00;2020-12-09 15:28:28;Завершено;"БИК: NBRKKZKX, ИИК: KZ48125KZTT004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по вывозу (сбору) неопасных отходов/имущества/материалов;2020-12-11 09:00:00;2020-12-15 00:39:41;Завершено;"БИК: NBRKKZKX, ИИК: KZ14125KZTL008100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Продление лицензий TippingPoint 3Gbps TPS Inspection License + Support + DV 1Yr Renew для устройства ПАК системы предотвращения вторжений ;2020-12-22 10:00:00;2020-12-29 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по страхованию автомобильного транспорта;2020-12-15 09:00:00;2020-12-20 10:36:03;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуга аренды канала в кабельной канализации;2020-12-03 09:00:00;2020-12-03 15:06:15;Завершено;"БИК: NBRKKZKX, ИИК: KZ09125KZT1002300138, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Доступ к Интернету (резервный);2020-12-11 09:00:00;2020-12-21 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Шкаф;2020-12-08 12:00:00;2020-12-09 12:58:28;Завершено;"БИК: NBRKKZKX, ИИК: KZ32125KZTB005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Страхование основных средств;2020-12-15 09:00:00;2020-12-20 10:33:18;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию пожарной/охранной сигнализации/систем тушения/видеонаблюдения и аналогичного оборудования;2020-12-20 15:00:00;2020-12-21 11:27:38;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде парковочных мест в автомобильном паркинге;2020-12-03 09:00:00;2020-12-10 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка маргарина, сыра полутвердого;2020-12-11 09:00:00;2020-12-20 09:39:49;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Счетчик водомер;2020-12-08 12:00:00;2020-12-08 16:30:27;Завершено;"БИК: NBRKKZKX, ИИК: KZ32125KZTB005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуги технического обслуживания системы менеджмента здания;2020-12-22 09:00:00;2020-12-25 23:08:55;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обеспечению безопасности;2020-12-21 09:00:00;2020-12-23 11:31:03;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Периодические печатные издания ;2020-12-09 09:00:00;2020-12-09 16:04:54;Завершено;"БИК: NBRKKZKX, ИИК: KZ14125KZTL008100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка работ топографической съемки участка;2020-12-10 18:00:00;2020-12-15 18:00:18;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка сапок;2020-12-03 09:00:00;2020-12-10 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги санитарные (дезинфекция, дезинсекция, дератизация и аналогичные);2020-12-15 09:00:00;2020-12-20 12:33:26;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Медицинское предсменное/послесменное обследование водителей;2020-12-22 09:00:00;2020-12-29 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Аккумуляторы и источники бесперебойного питания;2020-12-02 17:00:00;2020-12-06 21:15:35;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Программное обеспечение;2020-12-08 09:00:00;2020-12-15 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ09125KZT1002300138, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Доступ к Интернету;2020-12-11 09:00:00;2020-12-21 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуги мониторинга тревожной сигнализации;2020-12-15 14:00:00;2020-12-22 16:08:56;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Проведение повторных закупок вентиляторов;2020-12-03 09:00:00;2020-12-10 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
О закупке периодических печатных изданий ;2020-12-08 09:00:00;2020-12-10 16:37:11;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка говядины, печени говяжьей;2020-12-11 09:00:00;2020-12-21 09:47:55;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому сопровождению автотранспортных средств и спецтехники;2020-12-03 09:00:00;2020-12-04 16:27:32;Завершено;"БИК: NBRKKZKX, ИИК: KZ32125KZTB005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Вода;2020-12-21 11:00:00;2020-12-28 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуги по проведению лабораторно-инструментальных замеров в специализированных железнодорожных вагонах НБРК;2020-12-20 09:00:00;2020-12-25 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
О закупке периодических печатных изданий ;2020-12-08 09:00:00;2020-12-10 19:31:46;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Лак;2020-12-02 09:00:00;2020-12-02 14:32:29;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка хлеба из пшеничной муки и хлеба из смеси ржаной и пшеничной муки;2020-12-11 09:00:00;2020-12-20 13:41:08;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по пересылке регистрируемых почтовых отправлений;2020-12-21 09:00:00;2020-12-25 18:37:08;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка работы по техническому обслуживанию оборудования специального железнодорожного вагона НБРК;2020-12-20 09:00:00;2020-12-22 10:07:19;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги санитарные (дезинфекция, дезинсекция, дератизация и аналогичные);2020-12-11 09:00:00;2020-12-15 16:13:31;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Защита сети от DDoS-атак;2020-12-21 10:00:00;2020-12-28 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Периодические печатные издания ;2020-12-02 09:00:00;2020-12-03 17:49:49;Завершено;"БИК: NBRKKZKX, ИИК: KZ14125KZTL008100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуги по таможенному оформлению;2020-12-08 09:00:00;2020-12-08 18:00:32;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка филе судака замороженного, сельди слабосолёной;2020-12-20 09:00:00;2020-12-21 12:49:09;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка облучателя;2020-12-10 17:00:00;2020-12-21 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Видеостена;2020-12-22 09:00:00;2020-12-23 14:04:04;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Машина снегоуборочная;2020-12-02 09:00:00;2020-12-02 11:22:57;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги телефонной связи;2020-12-14 14:30:00;2020-12-23 14:30:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Техническое обслуживание ВОЛС;2020-12-21 09:00:00;2020-12-28 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуг образовательных в области неразрушающего контроля   ;2020-12-11 09:00:00;2020-12-21 15:40:12;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка программного обеспечения AutoCad;2020-12-08 09:00:00;2020-12-08 12:54:46;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Комплекс программно-аппаратный DLP-системы;2020-11-30 20:40:00;2020-12-11 09:30:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка окорочков куриных, грудки куриной замороженной, курицы мороженной, тушки, яиц;2020-12-20 09:00:00;2020-12-21 19:28:59;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по пересылке регистрируемых почтовых отправлений;2020-12-21 09:00:00;2020-12-25 17:01:34;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Государственная символика;2020-12-11 09:00:00;2020-12-15 15:29:56;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Переосвидетельствование огнетушителей;2020-12-08 10:00:00;2020-12-15 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"Закупка периодических печатных изданий: Деловая неделя; Казахстанская правда; Аргументы и факты; Ана тiлi; Системы безопасности; Драгоценные металлы и драгоценные камни.";2020-12-03 12:00:00;2020-12-03 15:05:16;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
